Investigation,,,,,,
 Item ID , Item Name ,  OP , Day Care , Economy , Double ," Single/
ICU "
235,TRIPLE MARKER - SECOND TRIMESTER TEST,2700,2700,2700,2700,2700
236,Trop I,1700,1700,1700,1700,1700
237,Troponin T,1200,,,,
238,TSH- Receptor Abntibody,4600,,,,
239,Urea - Urine,100,100,100,100,100
240,"Urea, Serum",120,120,120,120,120
241,Uric Acid,150,150,150,150,150
242,Uric Acid - Spot Urine,180,,,,
243,Uric Acid 24 - Hour Urine,325,,,,
244,Urine Alcohol Rapid,250,250,250,250,250
245,URINE CREATININE,650,650,650,650,650
246,Urine Drug Panel,2450,2450,2450,2450,2450
247,Urine For Bence Jonce Protein,310,310,310,310,310
248,Urine for bile pigments,150,150,150,150,150
249,Urine Ketones,100,100,100,100,100
250,URINE MICROALBUMIN,550,550,550,550,550
251,URINE PROTEIN,100,100,100,100,100
252,URINE PROTEIN CREATININE RATIO,550,550,550,550,550
253,URINE SODIUM - SPOT,300,300,300,300,300
254,URINE SUGAR - RANDOM,100,100,100,100,100
255,VALPORIC ACID,1100,1100,1100,1100,1100
256,Vitamin A ( Retinol ) - (C),5500,,,,
257,Vitamin B1 ( Thiamine),4700,,,,
258,Vitamin B12,1250,1250,1250,1250,1250
259,Vitamin B6 ( Pyridoxal 5 Phosphate ) - ( C ),4500,,,,
260,Vitamin C Ascorbic Acid - (C),3500,,,,
261,"Vitamin D 1 , 25 - Dihydroxy",4000,,,,
262,Vitamin D 25 Hydroxy,1500,1500,1500,1500,1500
263,Vitamin K - (C),18000,,,,
264,ZINC,2400,2400,2400,2400,2400
265,Antibody Titer Processing Charges,1000,,,,
266,BLOOD GROUP ABO AND Rh TYPING,350,350,350,350,350
267,DIRECT COOMBS TEST - DCT,450,450,450,450,450
268,Donor blood group processing,100,,,,
269,Donor CBC Processing,200,,,,
270,INDIRECT COOMBS TEST - ICT,450,450,450,450,450
271,Leucodepleted PRBC filter processing,2000,,,,
272,Ascitic Fluid Examination,850,850,850,850,850
273,CSF Examination,850,850,850,850,850
274,Fluid Examination,850,850,850,850,850
275,"Hemosiderin, Spot Urine - (C)",550,,,,
276,Pleural Fluid Examination,850,850,850,850,850
277,SEMEN ANALYSIS,650,650,650,650,650
278,URINE for PREGNANCY TEST,200,200,200,200,200
279,Urine Protein ( Dip Stick ),80,,,,
280,Urine Routine Examination,150,150,150,150,150
281,Urine Sugar ( Dip Stick ),80,,,,
282,Ascitic Fluid for Cytology,850,,,,
283,Ascitic Fluid for Malignment Cells,750,,,,
284,Brush Cytology,900,,,,
285,Cervical Screen - Liquid Based Cytology (LBC) + HPVDNA,1700,,,,
286,Conventional Pap Smear,650,750,750,750,750
287,CSF for Cytology,850,,,,
288,CSF for Malignant Cells,750,,,,
289,Cytology  For Malignant Cells  With Cell Block,1100,,,,
290,Cytology For Malignant Cells,850,850,850,850,850
291,Cytopathology Slide Review ( Up to 5 ),550,,,,
292,Cytopathology Slide Review ( Up to 8 ),700,,,,
293,Fluid for Cytology,850,750,750,750,750
294,FNAC (Fine Needle Aspiration),1500,1500,1500,1500,1500
