Surgical Procedures Surgeon fee,,,,,,,
Department,Surgery Id,Service Name,Economy,"Double
","Single/
ICU","Classic 
Deluxe",Suite
ENT,ENT51,Snoring Surgery - Pillar Reduction,17000,20400,24500,29400,32300
ENT,ENT52,Stapedectomy,22000,26400,31700,38000,41800
ENT,ENT53,Stapedotomy,22000,26400,31700,38000,41800
ENT,ENT54,Bilateral Intra Nasal Antrostomy,4800,5800,6900,8300,9100
ENT,ENT55,Sub total Thyoidectomy,22000,26400,31700,38000,41800
ENT,ENT56,Submandibular Gland Excision,18000,21600,25900,31100,34200
ENT,ENT57,Submucosal Injection (Stearoid),3500,4200,5000,6000,6600
ENT,ENT58,Submucous Diathermy - Bilateral,6000,7200,8600,10400,11400
ENT,ENT59,Submucous Diathermy - Unilateral,5000,6000,7200,8600,9500
ENT,ENT60,Suction Clearence Nose / Ear - Bilateral,3500,4200,5000,6000,6600
ENT,ENT61,Suction Clearence Nose / Ear - Unilateral,3500,4200,5000,6000,6600
ENT,ENT62,Suction Clearence of tracheostomy tube,3500,4200,5000,6000,6600
ENT,ENT63,Superficial Paraidectomy (ENT),20000,24000,28800,34600,38100
ENT,ENT64,Suturing (E N T),3500,4200,5000,6000,6600
ENT,ENT65,Bilateral Myringotomy with Grommet,6000,7200,8600,10400,11400
ENT,ENT66,Synachae Removal From Nose - Bilateral,5000,6000,7200,8600,9500
ENT,ENT67,Synachae Removal From Nose - Unilateral,5000,6000,7200,8600,9500
ENT,ENT68,Syringing (Bilateral),3500,4200,5000,6000,6600
ENT,ENT69,Syringing (Unilateral),3500,4200,5000,6000,6600
ENT,ENT70,Syringing / Wax Removal (ENT),3500,4200,5000,6000,6600
ENT,ENT71,Thyroplasty I,22000,26400,31700,38000,41800
ENT,ENT72,Tongue-tie release (in OR),5500,6600,7900,9500,10500
ENT,ENT73,Tonsillectomy,13000,15600,18700,22500,24800
ENT,ENT74,Total Laryngectomy,37200,44600,53600,64300,70700
ENT,ENT75,Total Maxillectomy,37200,44600,53600,64300,70700
ENT,ENT76,Bilateral Nasal Polypectomy / Ethmoidectomy,10400,12500,15000,18000,19800
ENT,ENT77,Total Thyroidectomy,22000,26400,31700,38000,41800
ENT,ENT78,Tracheal Reconstruction,24800,29800,35700,42900,47200
ENT,ENT79,Tracheostomy (ENT),12000,14400,17300,20700,22800
ENT,ENT80,Tracheostomy Tube Change (ENT),3500,4200,5000,6000,6600
ENT,ENT81,Turbinate reduction,8000,9600,11500,13800,15200
ENT,ENT82,Tympanomastoidectomy,24800,29800,35700,42900,47200
ENT,ENT83,Tympanoplasty,20000,24000,28800,34600,38100
ENT,ENT84,Tympanotomy,17000,20400,24500,29400,32300
ENT,ENT85,Unilateral Ear Lobular Repair,5000,6000,7200,8600,9500
ENT,ENT86,Unilateral Myringotomy with Gromme,5000,6000,7200,8600,9500
ENT,ENT87,Bilateral Styloidectomy,13600,16300,19600,23500,25900
ENT,ENT88,Unilateral Styloidectomy (ENT),13000,15600,18700,22500,24800
ENT,ENT89,Uvulectomy (in OR),7000,8400,10100,12100,13300
ENT,ENT90,Uvulo- Palato Pharyngoplasty,22000,26400,31700,38000,41800
ENT,ENT91,Block Dissection of Cervical Nodes (Ent),9600,11500,13800,16600,18300
ENT,ENT92,bronchoscopy Under LA (Diagnostic/Biopsy) (ENT),6400,7700,9200,11000,12100
ENT,ENT93,Bronchoscopy with FB Removal(ENT),13600,16300,19600,23500,25900
ENT,ENT94,Caldwell – Luc Surgery – Unilateral,12000,14400,17300,20700,22800
ENT,ENT95,Caloric Testing - Bilateral(ENT),13600,16300,19600,23500,25900
ENT,ENT96,CANALPLASTY with ear reconstruction,4800,5800,6900,8300,9100
ENT,ENT97,Cauterisation Nose (Little s area ) for Espistaxis (ENT),17600,21100,25400,30400,33400
ENT,ENT98,Cautery Patching (ENT),16000,19200,23000,27700,30500
ENT,ENT99,Cervical Abcess Drainage,22300,26800,32200,38600,42500
ENT,ENT100,Chemical Cauterzation Nose / Throat / Ear,24900,29800,35800,43000,47300
ENT,ENT101,Closed reduction Le Fort I,15200,18200,21900,26200,28800
ENT,ENT102,Closed reduction nasal bone,4000,4800,5800,6900,7600
ENT,ENT103,Closed Reduction of Facial Bones(ENT),2800,3400,4000,4800,5300
ENT,ENT104,Cortical Mastoidectomy,17000,20400,24500,29400,32300
ENT,ENT105,Cyst & Benign Tumour of palate (ENT),3400,4000,4800,5200,5700
ENT,ENT106,Decanulation of Tracheostomy tube,16000,19200,23000,27700,30500
ENT,ENT107,dental Cyst & Tumour Excission,2800,3400,4000,4800,5300
ENT,ENT108,Direct Laryngoscopy,4000,4800,5800,6900,7600
ENT,ENT109,Direct Laryngoscopy with biopsy,4000,4800,5800,6900,7600
ENT,ENT110,Drainage of retro-pharyngeal abscess(ENT),2800,3400,4000,4800,5300
ENT,ENT111,Dressing-(ENT),2800,3400,4000,4800,5300
ENT,ENT112,E.U.M (ENT),2800,3400,4000,4800,5300
ENT,ENT113,Ear Lobule Repair - Bilateral,17600,21100,25400,30400,33400
ENT,ENT114,Ear Lobule Repair - Unilateral,4400,5300,6300,7600,8400
ENT,ENT115,Ear Lobuler keloid cyst excision,1800,2300,2800,3400,3700
ENT,ENT116,Ear Packing with Dressing (Bilateral),10400,12500,15000,18000,19800
ENT,ENT117,Ear Packing with Dressing (Unilateral),3500,4200,5000,6000,6600
ENT,ENT118,Endoscopic cauterisation(ENT)GA,13000,15600,18700,22500,24800
ENT,ENT119,Endoscopic cauterisation(ENT)LA,2000,3000,4000,5000,6000
ENT,ENT120,Endoscopic CSF Fistula Repair,31100,37300,44800,53700,59100
ENT,ENT121,Endoscopic DCR,20000,24000,28800,34600,38100
ENT,ENT122,Endoscopic fronto Spheno Ethmoidectomy – Bilateral,31100,37300,44800,53700,59100
ENT,ENT123,Endoscopic fronto Spheno Ethmoidectomy – Unilateral,24800,29800,35700,42900,47200
